80  100  
0   0   0
1   1   1
2   2   2
3   3   3
4   4   4
5   5   5
6   6   6
7   7   7
8   8   8
9   9   9
10  10  10
11  11  11
12  12  12
13  13  13
14  14  14
15  15  15
16  16  16
17  17  17
18  18  18
19  19  19
20  20  20
21  21  21
22  22  22
23  23  23
24  24  24
25  25  25
26  26  26
27  27  27
28  28  28
29  29  29
30  30  30
31  31  31
32  32  32
33  33  33
34  34  34
35  35  35
36  36  36
37  37  37
38  38  38
39  39  39
40  40  40
41  41  41
42  42  42
43  43  43
44  44  44
45  45  45
46  46  46
47  47  47
48  48  48
49  49  49
50  50  50
51  51  51
52  52  52
53  53  53
54  54  54
55  55  55
56  56  56
57  57  57
58  58  58
59  59  59
60  60  60
61  61  61
62  62  62
63  63  63
64  64  64
65  65  65
66  66  66
67  67  67
68  68  68
69  69  69
70  70  70
71  71  71
72  72  72
73  73  73
74  74  74
75  75  75
76  76  76
77  77  77
78  78  78
79  79  79
0   50  1
1   50  1
2   51  1
3   51  1
4   52  1
5   52  1
6   53  1
7   53  1
8   54  1
9   54  1
10  55  1
11  57  1
12  57  1
13  57  1
14  58  1
15  58  1
16  58  1
17  62  1
18  59  1
19  60  1
20  60  1
21  61  1
22  63  1
23  63  1
24  64  1
25  65  1
26  65  1
27  65  1
28  66  1
29  66  1
30  66  1
31  67  1
32  68  1
33  69  1
34  70  1
35  70  1
36  70  1
37  70  1
38  71  1
39  75  1
40  79  1
41  79  1
42  79  1
43  77  1
44  78  1
45  78  1
46  78  1
47  73  1
48  76  1
49  74  1
50  51  1
50  53  1
50  54  1
51  52  1
52  53  1
52  57  1
53  55  1
54  55  1
54  58  1
55  56  1
56  57  1
56  62  1
57  59  1
58  60  1
58  61  1
59  62  1
59  65  1
60  61  1
60  63  1
60  71  1
61  62  1
61  63  1
62  69  1
63  64  1
63  66  1
65  69  1
66  67  1
66  68  1
67  68  1
67  72  1
68  69  1
68  72  1
69  70  1
69  73  1
69  75  1
70  78  1
71  72  1
71  74  1
71  79  1
72  73  1
72  74  1
73  74  1
73  77  1
74  76  1
75  77  1
75  78  1
76  77  1
76  79  1
77  78  1
78  79  1
